Genus,Feces,Mucosa,Tumor,Overall
Bacteroides,5539.833333333333,19022.166666666668,22945.33333333333,15835.777777777776
Faecalibacterium,7696.833333333333,3982.6666666666665,3450.0,5043.166666666667
[Ruminococcus]_torques_group,1626.8333333333333,4511.833333333333,7848.166666666667,4662.277777777777
Escherichia-Shigella,1917.5,5104.5,5870.833333333333,4297.61111111111
Prevotella,4934.333333333333,4757.333333333333,2704.333333333333,4132.0
Klebsiella,1374.0,2398.6666666666665,2538.6666666666665,2103.777777777778
Fusobacterium,41.0,2798.6666666666665,2333.333333333333,1724.3333333333333
[Ruminococcus]_gnavus_group,106.0,2863.1666666666665,1607.6666666666667,1525.611111111111
Clostridium_sensu_stricto_1,567.0,2800.833333333333,1139.5,1502.4444444444443
Blautia,3565.333333333333,302.0,389.0,1418.7777777777776
Streptococcus,1484.6666666666667,643.8333333333334,1707.3333333333333,1278.611111111111
Holdemanella,485.6666666666667,1161.1666666666667,1770.0,1138.9444444444446
Alloprevotella,340.1666666666667,1689.3333333333333,622.1666666666666,883.8888888888888
Subdoligranulum,2019.0,329.3333333333333,250.16666666666663,866.1666666666666
Haemophilus,89.5,445.3333333333333,1738.8333333333333,757.8888888888888
Akkermansia,1916.0,41.16666666666666,4.5,653.8888888888889
Ruminococcus,1565.5,0.3333333333333333,0.6666666666666666,522.1666666666666
