# Constructed from biom file
#OTU ID	SRR38233223	SRR38233224	SRR38233225	SRR38233226	SRR38233227	SRR38233228	SRR38233229	SRR38233230	SRR38233231	SRR38233232	SRR38233233	SRR38233234	SRR38233235	SRR38233236	SRR38233237	SRR38233238	SRR38233239	SRR38233240
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	8319.0	24645.0	20227.0	16255.0	3056.0	6680.0	1155.0	17008.0	31783.0	27483.0	5169.0	44644.0	37721.0	1649.0	16536.0	11058.0	10964.0	692.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	8.0	2899.0	2328.0	11247.0	1256.0	374.0	0.0	100.0	17910.0	15960.0	193.0	8108.0	8546.0	25.0	4952.0	3363.0	56.0	32.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	1955.0	8775.0	4175.0	34.0	813.0	1252.0	2168.0	3569.0	13257.0	9848.0	4700.0	5155.0	3211.0	675.0	15520.0	5763.0	2822.0	229.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	10901.0	2276.0	3816.0	1705.0	1033.0	1555.0	6617.0	7026.0	4578.0	5196.0	12104.0	2458.0	1849.0	7926.0	3329.0	3678.0	7802.0	6928.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gnavus_group	87.0	0.0	0.0	420.0	0.0	14.0	0.0	0.0	682.0	520.0	129.0	2162.0	1148.0	0.0	6802.0	15497.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	2165.0	7548.0	5664.0	133.0	50.0	234.0	416.0	1168.0	0.0	0.0	0.0	0.0	0.0	0.0	1854.0	794.0	275.0	200.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	203.0	0.0	0.0	176.0	0.0	0.0	120.0	0.0	62.0	15.0	2434.0	13.0	8.0	469.0	6762.0	16782.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	30.0	0.0	0.0	11856.0	15840.0	231.0	1469.0	372.0	789.0	0.0	77.0	31.0	0.0	196.0	122.0	10.0	15.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.0	1788.0	1750.0	146.0	3261.0	12499.0	10001.0	11121.0	0.0	0.0	0.0	56.0	38.0	321.0	0.0	0.0	14257.0	19138.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	729.0	52.0	71.0	29.0	6701.0	1080.0	0.0	6611.0	0.0	0.0	26.0	0.0	0.0	0.0	1868.0	830.0	12411.0	7460.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	635.0	418.0	434.0	597.0	92.0	379.0	705.0	370.0	224.0	256.0	5101.0	135.0	171.0	4609.0	262.0	236.0	500.0	467.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	3359.0	1615.0	1074.0	674.0	13.0	6.0	5638.0	220.0	112.0	78.0	4113.0	374.0	450.0	5460.0	0.0	0.0	204.0	2148.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	557.0	27.0	247.0	10939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	3896.0	133.0	103.0	90.0	4652.0	2218.0	182.0	541.0	110.0	28.0	187.0	9.0	22.0	4489.0	4799.0	1133.0	359.0	64.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	224.0	1091.0	1222.0	267.0	87.0	87.0	102.0	770.0	761.0	842.0	1202.0	796.0	1052.0	1004.0	203.0	304.0	654.0	677.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	76.0	65.0	173.0	0.0	8835.0	868.0	7.0	153.0	0.0	0.0	413.0	543.0	632.0	0.0	837.0	913.0	86.0	41.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	22.0	754.0	226.0	59.0	479.0	1143.0	193.0	867.0	3.0	0.0	0.0	2126.0	1284.0	0.0	2884.0	2175.0	1652.0	95.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	245.0	953.0	1266.0	197.0	260.0	242.0	321.0	794.0	190.0	239.0	258.0	1393.0	878.0	412.0	1265.0	758.0	422.0	362.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	683.0	11.0	0.0	176.0	25.0	69.0	338.0	160.0	30.0	31.0	2095.0	0.0	0.0	487.0	48.0	27.0	143.0	312.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.0	32.0	3.0	0.0	346.0	287.0	10.0	510.0	71.0	13.0	0.0	298.0	47.0	0.0	2648.0	396.0	35.0	8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.0	1452.0	3115.0	79.0	1890.0	6498.0	929.0	391.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	523.0	1033.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	452.0	88.0	54.0	27.0	0.0	0.0	41.0	290.0	393.0	129.0	2754.0	41.0	40.0	262.0	77.0	25.0	127.0	42.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	315.0	488.0	136.0	0.0	98.0	260.0	189.0	0.0	795.0	849.0	382.0	764.0	609.0	71.0	1467.0	420.0	0.0	118.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	450.0	244.0	360.0	390.0	28.0	57.0	2535.0	170.0	14.0	8.0	1533.0	167.0	250.0	201.0	3.0	6.0	173.0	333.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	274.0	0.0	0.0	0.0	12.0	0.0	32.0	2857.0	0.0	0.0	121.0	13.0	12.0	523.0	0.0	0.0	2260.0	636.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	142.0	15.0	0.0	0.0	0.0	0.0	1438.0	0.0	8.0	0.0	487.0	74.0	93.0	439.0	0.0	0.0	4.0	1544.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	233.0	297.0	298.0	1066.0	534.0	1666.0	912.0	421.0	698.0	270.0	331.0	650.0	426.0	1166.0	51.0	31.0	465.0	92.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	515.0	100.0	149.0	77.0	253.0	74.0	387.0	0.0	0.0	0.0	450.0	337.0	636.0	175.0	51.0	74.0	62.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0.0	61.0	4.0	0.0	15.0	80.0	0.0	7.0	1039.0	845.0	26.0	63.0	51.0	7.0	702.0	163.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae	0.0	0.0	0.0	176.0	56.0	40.0	1248.0	73.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	348.0	1076.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	1055.0	54.0	43.0	84.0	59.0	174.0	421.0	534.0	297.0	526.0	1024.0	429.0	301.0	40.0	76.0	97.0	525.0	312.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	4.0	189.0	43.0	0.0	0.0	0.0	40.0	16.0	0.0	3.0	197.0	254.0	300.0	563.0	225.0	782.0	14.0	30.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	1942.0	0.0	2.0	377.0	0.0	0.0	1610.0	4.0	0.0	0.0	1871.0	0.0	0.0	2257.0	0.0	0.0	0.0	1336.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	0.0	0.0	0.0	0.0	167.0	904.0	0.0	81.0	555.0	666.0	327.0	0.0	0.0	83.0	0.0	0.0	80.0	22.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	910.0	125.0	105.0	943.0	17.0	189.0	772.0	0.0	52.0	26.0	889.0	128.0	88.0	343.0	0.0	0.0	12.0	24.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	265.0	263.0	239.0	268.0	26.0	73.0	819.0	208.0	25.0	5.0	990.0	473.0	525.0	320.0	0.0	0.0	190.0	1635.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	73.0	183.0	292.0	749.0	13.0	50.0	484.0	40.0	33.0	40.0	1330.0	0.0	10.0	1235.0	0.0	0.0	76.0	330.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	36.0	1815.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	340.0	0.0	0.0	17.0	0.0	0.0	64.0	0.0	0.0	0.0	566.0	17.0	9.0	710.0	13.0	138.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	211.0	0.0	16.0	328.0	37.0	70.0	617.0	522.0	0.0	0.0	0.0	142.0	116.0	128.0	10.0	12.0	399.0	312.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium	0.0	78.0	88.0	243.0	0.0	0.0	1132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas	0.0	0.0	0.0	0.0	457.0	423.0	5.0	1350.0	0.0	0.0	0.0	382.0	18.0	0.0	55.0	13.0	0.0	24.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	336.0	143.0	197.0	150.0	305.0	278.0	293.0	158.0	59.0	60.0	895.0	186.0	85.0	106.0	734.0	634.0	340.0	247.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	0.0	0.0	0.0	93.0	0.0	0.0	180.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	302.0	0.0	5.0	29.0	0.0	8.0	171.0	101.0	0.0	0.0	444.0	3.0	0.0	105.0	0.0	10.0	11.0	60.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0.0	0.0	0.0	2.0	78.0	347.0	822.0	0.0	4.0	0.0	71.0	86.0	24.0	1403.0	9.0	6.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Megamonas	0.0	0.0	0.0	0.0	0.0	5.0	17.0	0.0	0.0	0.0	0.0	725.0	871.0	371.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	22.0	13.0	28.0	8.0	55.0	96.0	154.0	4.0	0.0	0.0	0.0	518.0	286.0	10.0	0.0	0.0	17.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter	80.0	54.0	237.0	74.0	77.0	285.0	62.0	6.0	0.0	0.0	0.0	33.0	40.0	79.0	0.0	0.0	26.0	16.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	350.0	1646.0	8.0	5.0	7.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	298.0	0.0	0.0	0.0	0.0	0.0	238.0	129.0	0.0	0.0	532.0	0.0	6.0	11.0	55.0	15.0	57.0	98.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella	0.0	8.0	11.0	3.0	0.0	0.0	0.0	206.0	0.0	0.0	18.0	0.0	0.0	0.0	620.0	86.0	11.0	2.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1037.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	53.0	314.0	155.0	0.0	0.0	0.0	563.0	0.0	65.0	30.0	88.0	136.0	185.0	707.0	12.0	3.0	0.0	16.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;__	0.0	0.0	0.0	1083.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	17.0	137.0	326.0	232.0	31.0	71.0	134.0	157.0	123.0	124.0	212.0	0.0	0.0	0.0	27.0	22.0	269.0	347.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	98.0	72.0	350.0	39.0	124.0	240.0	47.0	153.0	11.0	7.0	335.0	24.0	35.0	135.0	0.0	0.0	75.0	21.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.0	142.0	213.0	267.0	8.0	55.0	381.0	14.0	45.0	27.0	0.0	24.0	39.0	179.0	0.0	0.0	21.0	399.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	0.0	0.0	0.0	5.0	0.0	0.0	183.0	185.0	0.0	0.0	496.0	0.0	0.0	81.0	0.0	0.0	169.0	532.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	324.0	0.0	10.0	42.0	0.0	0.0	0.0	177.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	136.0	225.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	680.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	174.0	0.0	0.0	656.0	0.0	0.0	530.0	0.0	0.0	0.0	608.0	0.0	0.0	626.0	0.0	0.0	0.0	510.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	175.0	20.0	72.0	0.0	0.0	0.0	0.0	543.0	6.0	2.0	268.0	58.0	71.0	8.0	162.0	25.0	404.0	83.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	557.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
